epoch,train_loss,train_acc,test_loss,test_acc
1,1.7984975055306258,0.18862275449101795,1.7639118830362956,0.20833333333333334
2,1.744933353212779,0.23952095808383234,1.7804817699250721,0.2261904761904762
3,1.7386309707949976,0.26497005988023953,1.745057191167559,0.26785714285714285
4,1.6880826000681894,0.27095808383233533,1.7284554299854098,0.32142857142857145
5,1.6680428118049027,0.281437125748503,1.7020940212976365,0.30952380952380953
6,1.6162732689680455,0.3458083832335329,1.705599932443528,0.24404761904761904
7,1.5791843951105358,0.3458083832335329,1.7548962888263522,0.21428571428571427
8,1.5534890418994927,0.34880239520958084,1.5840559459867931,0.35714285714285715
9,1.495783673788973,0.3652694610778443,1.519094047092256,0.38095238095238093
10,1.4695368519800152,0.40119760479041916,1.6739723341805595,0.25
11,1.4273262480775752,0.42065868263473055,1.5209939366295224,0.3392857142857143
12,1.381758777681225,0.4476047904191617,1.5406597909473239,0.40476190476190477
13,1.4209392648971009,0.437125748502994,1.5855766478038968,0.36904761904761907
14,1.3676704725105606,0.4431137724550898,1.5754727522532146,0.375
15,1.2647397032754863,0.47604790419161674,1.6261599858601887,0.34523809523809523
16,1.2154349110083666,0.5,1.5516900959469022,0.39880952380952384
17,1.140838939986543,0.5239520958083832,1.5112647385824294,0.49404761904761907
18,1.1290119254660465,0.5464071856287425,1.5568290381204515,0.44047619047619047
19,1.0955205977319957,0.5868263473053892,1.5190753709702265,0.5
20,1.0395218801355648,0.592814371257485,1.490430133683341,0.5178571428571429
21,1.0191487580716252,0.5958083832335329,1.6633801744097756,0.43452380952380953
22,1.058865619276812,0.5793413173652695,1.633053802308582,0.47619047619047616
23,0.9668866253184701,0.6107784431137725,1.53650959332784,0.5059523809523809
24,0.9345737017557293,0.6392215568862275,1.7984397695178078,0.375
25,0.9203962066216383,0.6616766467065869,1.5962738479886736,0.5
26,0.9085017371320439,0.657185628742515,1.7385244823637462,0.44642857142857145
27,0.9544754849222605,0.6287425149700598,1.5412151927039737,0.5595238095238095
28,0.7957984401794251,0.6991017964071856,1.4549289430890764,0.5892857142857143
29,0.755793844154495,0.6961077844311377,1.6968344847361247,0.48214285714285715
30,0.7347038009923376,0.7110778443113772,1.6347739072073073,0.5178571428571429
31,0.719660556601907,0.7005988023952096,1.586696440265292,0.5654761904761905
32,0.75789637265805,0.7035928143712575,1.737576547123137,0.43452380952380953
33,0.7732413186284597,0.688622754491018,1.731675698643639,0.49404761904761907
34,0.7994831557759268,0.6796407185628742,1.520982801914215,0.5654761904761905
35,0.7025268581099139,0.7140718562874252,1.6403064585867382,0.5059523809523809
36,0.6744956641853926,0.7215568862275449,1.5837901944205874,0.5119047619047619
37,0.5921888490636905,0.7559880239520959,1.7511051836467924,0.5178571428571429
38,0.5339998841999534,0.7844311377245509,1.7171412649608793,0.5297619047619048
39,0.4879125117541787,0.7994011976047904,1.8164232571919758,0.5059523809523809
40,0.538558805417158,0.7949101796407185,1.9442310333251953,0.5535714285714286
41,0.5943527812372424,0.7709580838323353,1.8904413836342948,0.5119047619047619
42,0.7030006905872664,0.7350299401197605,1.7087265111151195,0.5595238095238095
43,0.5374162170344484,0.7919161676646707,1.8395870072501046,0.5416666666666666
44,0.5563883576207532,0.7844311377245509,1.8127921166874112,0.5059523809523809
45,0.5921027449790589,0.7634730538922155,2.105858780088879,0.4583333333333333
46,0.5393634106584652,0.7829341317365269,1.8880822658538818,0.5357142857142857
47,0.5510989252678649,0.7799401197604791,1.9466839177267892,0.5119047619047619
48,0.5404354182189096,0.7829341317365269,1.7946745043709165,0.5476190476190477
49,0.4605502855634975,0.8143712574850299,1.9542307995614552,0.5595238095238095
50,0.4632775587236096,0.8083832335329342,1.7888936031432379,0.6011904761904762
